Adresse;Intitulé du réseau;Intitulé de la typologie;Ville;Intitulé de la structure;GM_search
144 Rue de Bavay;Réseau des rectorats et DSDEN;Rectorat;LILLE;RECTORAT DE L'ACADEMIE DE LILLE;144 Rue de Bavay, Réseau des rectorats et DSDEN, Rectorat, RECTORAT DE L'ACADEMIE DE LILLE, LILLE
9 Rue Brisout de Barneville;POLE EMPLOI;AGENCE POLE EMPLOI (APE);ROUEN;DDSP DE LA SEINE MARITIME;POLE EMPLOI, ROUEN SAINT SEVER-PE,ROUEN 
